,ID,done,Name,rss,tags,region,status,notes,last_scraped,total_scraped,element_name,attribute_name,attribute_content,URL,Projects
39,50,done,Intel,https://feeds.feedburner.com/intelnewsroom,,,,,,,div,class,entry-content,http://influencemap.org/company/Intel-d529169d00787bfdcc3ec143fe6335a9,Climate Change
40,51,done,HP Inc,https://investor.hp.com/rss/PressRelease.aspx,,,,,,,div,class,module_body,http://influencemap.org/company/Hewlett-Packard,Climate Change
41,52,done,Coca Cola,https://investors.coca-colacompany.com/news-events/press-releases/rss,,,,,,,div,class,main-content,http://influencemap.org/company/Coca-Cola,Climate Change
42,53,done,Cisco Systems,https://newsroom.cisco.com/data/syndication/rss2/topStories_20.xml,,,,,,,div,class,main-content,http://influencemap.org/company/Cisco-Systems,Climate Change
43,54,done,Lukoil,,,,,,,,,,,http://influencemap.org/company/Lukoil-137a7d601da038d6fea9fbc2653de0f1,Climate Change
44,55,done,Boeing,https://boeing.mediaroom.com/news-releases-statements?pagetemplate=rss,,,,,,,div,id,wd_printable_content,http://influencemap.org/company/Boeing-8069fc81ee891c2f7dda59ed922b5e24,Climate Change
45,56,done,UnitedHealth Group,https://www.unitedhealthgroup.com/newsroom/uhgall-rss.rss.xml,,,,,,,div,class,cmp-text-uhg body-copy-component page-gutter,http://influencemap.org/company/UnitedHealth-Group,Climate Change
46,57,done,Hyundai Motor,,,,,,,,,,,http://influencemap.org/company/Hyundai-Motor,"Climate Change, NOX"
47,58,done,Sanofi,https://feeds.sanofi.com/globenewswire/en/last5,,,,,,,div,class,ui-newsdetail-left,http://influencemap.org/company/Sanofi-9117d5b849b012576ac290290b12cdd0,Climate Change
48,59,done,Roche Group,https://www.roche.com/med_news_xml.xml,,,,,,,div,id,content,http://influencemap.org/company/Roche-Group,Climate Change
49,60,done,Raytheon Technologies Corporation (formerly United Technologies),,,,,,,,,,,http://influencemap.org/company/United-Technologies,Climate Change
50,61,done,PepsiCo,,,,,,,,,,,http://influencemap.org/company/PepsiCo-33074bfca647ae041e776b4f3ede20b9,Climate Change
51,62,done,Oracle,,,,,,,,,,,http://influencemap.org/company/Oracle-ece56be9dd10c60f99c3cc1efc3cd7c6,Climate Change
52,63,done,CVS Health,,,,,,,,,,,http://influencemap.org/company/CVS-Health,Climate Change
53,64,done,Merck,,,,,,,,,,,http://influencemap.org/company/Merck-00fa3a33e65b337f3c68eaebfef624a3,Climate Change
54,65,done,Walt Disney,https://thewaltdisneycompany.com/news/feed/,,,,,,,div,class,entry-content,http://influencemap.org/company/Walt-Disney,Climate Change
55,66,done,Rio Tinto Group,,,,,,,,,,,http://influencemap.org/company/Rio-Tinto-Group,Climate Change
56,67,done,Unilever,https://www.unilever.com/feeds/news.rss,,,,,,,div,id,content-wrap,http://influencemap.org/company/Unilever-be41a93200d3068f15897ef51795038b,Climate Change
57,68,done,Nissan,https://reports.nissan-global.com/EN/?feed=rss2,,,,,,,div,id,article_text,http://influencemap.org/company/Nissan-abdc9326775d476cb90209eca8efc593,"Climate Change, NOX, Energy Strategy"
58,69,done,E.ON,,,,,,,,,,,http://influencemap.org/company/E-ON,"Climate Change, UK Power Sector"
59,70,done,America Movil,https://www.americamovil.com/rss/pressrelease.aspx?LanguageId=1,,,,,,,div,class,node__content,http://influencemap.org/company/America-Movil,Climate Change
60,71,done,GlaxoSmithKline,https://www.gsk.com/en-gb/media/rss/,,,,,,,main,id,main-content,http://influencemap.org/company/GlaxoSmithKline-98a322c9a334e18ed3426a42bccf37af,Climate Change
61,72,done,Schlumberger,https://investorcenter.slb.com/rss/news-releases.xml,,,,,,,div,class,node__content,http://influencemap.org/company/Schlumberger-5720686f8f1927845aeab68ecf4f29d3,Climate Change
62,73,done,Bayer,https://www.investor.bayer.de/feed/rss2_investornews_en.php,,,,,,,section,class,main-section,http://influencemap.org/company/Bayer-6c618bc4a9be17c4f6812721dc5e2ca7,Climate Change
63,74,done,Caterpillar,,,,,,,,,,,http://influencemap.org/company/Caterpillar-23fa28232337f0149d9f7c694a2e5325,Climate Change
64,75,done,Mitsubishi Corporation,http://www.mitsubishielectric.com/news/feed/news.xml,,,,,,,div,class,gs18-dGrid,http://influencemap.org/company/Mitsubishi-Corporation,"Climate Change, Energy Strategy"
65,76,done,Dow Chemical,,,,,,,,,,,http://influencemap.org/company/Dow-Chemical,Climate Change
66,77,done,Airbus Group,,,,,,,,,,,http://influencemap.org/company/Airbus-Group,Climate Change
67,78,done,Iberdrola,,,,,,,,,,,http://influencemap.org/company/Iberdrola-a88bc60c58e2b3aa71b04be5271cc8c3,"Climate Change, UK Power Sector"
68,79,done,Reliance Industries,,,,,,,,,,,http://influencemap.org/company/Reliance-Industries,Climate Change
69,80,done,CK Hutchison,https://www.ckh.com.hk/en/media/press_releases.php?view_type=rss,,,,,,,div,class,contentArea,http://influencemap.org/company/Hutchison-Whampoa,Climate Change
70,81,done,Home Depot,,,,,,,,,,,http://influencemap.org/company/Home-Depot,Climate Change
71,82,done,Hitachi,,,,,,,,,,,http://influencemap.org/company/Hitachi-f7b013181feb77224ad7d20e24f5088d,"Climate Change, Energy Strategy"
72,83,done,Foxconn,,,,,,,,,,,http://influencemap.org/company/Hon-Hai-Precision-Industry,Climate Change
73,84,done,Phillips 66,https://investor.phillips66.com/rss/pressrelease.aspx,,,,,,,div,class,module_body,http://influencemap.org/company/Phillips-66,Climate Change
74,85,done,Moller Maersk Group,,,,,,,,,,,http://influencemap.org/company/Moller-Maersk-Group,"Climate Change, Shipping Sector Analysis"
75,86,done,Orange,,,,,,,,,,,http://influencemap.org/company/Orange-1e6f21d24698e844912f160790bfd65c,Climate Change
76,87,done,Deutsche Telekom,https://www.telekom.com/service/rss/418728/feed.rss,,,,,,,div,class,richtext,http://influencemap.org/company/Deutsche-Telekom,Climate Change
77,88,done,Vinci,https://www.vinci.com/vinci.nsf/en/rss-vinci.xml,,,,,,,div,class,text,http://influencemap.org/company/Vinci-9ff469f0cfd2dd50a1c5b42997e17fe2,Climate Change
78,89,done,Mondelez International,https://ir.mondelezinternational.com/rss/news-releases.xml,,,,,,,div,class,node__content,http://influencemap.org/company/Mondelez-International,Climate Change
79,90,done,Suncor Energy,,,,,,,,,,,http://influencemap.org/company/Suncor-Energy,"Climate Change, Oil and Gas Sector Analysis"
80,91,done,Occidental Petroleum,https://occidentalpetroleum.gcs-web.com/rss/news-releases.xml,,,,,,,div,class,node__content,http://influencemap.org/company/Occidental-Petroleum,"Climate Change, Oil and Gas Sector Analysis"
81,92,done,21st Century Fox,,,,,,,,,,,http://influencemap.org/company/21st-Century-Fox,Climate Change
82,93,done,Mitsui & Co,,,,,,,,,,,http://influencemap.org/company/Mitsui-Co,"Climate Change, Energy Strategy"
83,94,done,Qualcomm,https://www.qualcomm.com/rss/releases/rss.xml,,,,,,,div,data-test-id,blog-post,http://influencemap.org/company/Qualcomm-9380583664736f3c7a46da316d431f1e,Climate Change
84,95,done,Time Warner,,,,,,,,,,,http://influencemap.org/company/Time-Warner,Climate Change
85,96,done,Philip Morris International,,,,,,,,,,,http://influencemap.org/company/Philip-Morris-International,Climate Change
86,97,done,Express Scripts Holding,,,,,,,,,,,http://influencemap.org/company/Express-Scripts-Holding,Climate Change
87,98,done,Honeywell International,,,,,,,,,,,http://influencemap.org/company/Honeywell-International,Climate Change
88,99,done,United Parcel Service (UPS),,,,,,,,,,,http://influencemap.org/company/United-Parcel-Service,Climate Change
89,100,done,Deutsche Post,,,,,,,,,,,http://influencemap.org/company/Deutsche-Post,Climate Change
90,101,done,Duke Energy,https://news.duke-energy.com/rss.xml,,,,,,,div,class,article-content,http://influencemap.org/company/Duke-Energy,Climate Change
91,102,done,Delta Air Lines,https://news.delta.com/delta-news-hub.xml,,,,,,,section,class,section,http://influencemap.org/company/Delta-Air-Lines,Climate Change
92,103,done,National Grid,,,,,,,,,,,http://influencemap.org/company/National-Grid,"Climate Change, UK Power Sector, UK Power Sector"
93,104,done,ABB,,,,,,,,,,,http://influencemap.org/company/ABB-d7802783986d7f034330ac9d41e780c0,Climate Change
94,105,done,Amgen,https://investors.amgen.com/rss/news-releases.xml,,,,,,,div,class,node__content,http://influencemap.org/company/Amgen-6d86a2bbadbc8b348728bea3e5f301f7,Climate Change
95,106,done,DuPont,,,,,,,,,,,http://influencemap.org/company/DuPont-8c18677f67d0a9c3b17cf6f08dacaf3b,Climate Change
96,107,done,L'Oreal,,,,,,,,,,,http://influencemap.org/company/L-Oreal,Climate Change
97,108,done,British American Tobacco,,,,,,,,,,,http://influencemap.org/company/British-American-Tobacco,Climate Change
98,109,done,Walgreens Boots Alliance,,,,,,,,,,,http://influencemap.org/company/Walgreens-Boots-Alliance,Climate Change
99,110,done,Cargill,,,,,,,,,,,http://influencemap.org/company/Cargill-0b04c96b22896371ee3ff5b38ab91a25,Climate Change
100,111,done,Koch Industries,,,,,,,,,,,http://influencemap.org/company/Koch-Industries,Climate Change
101,31748,done,Eastman Chemical,https://www.eastman.com/Company/News_Center/AllNews.rss,,,,,,,div,class,contentarea,http://influencemap.org/company/Eastman-Chemical,Climate Change
102,31845,done,Evonik Industries,,,,,,,,,,,http://influencemap.org/company/Evonik-Industries,Climate Change
103,31942,done,Asahi Kasei,,,,,,,,,,,http://influencemap.org/company/Asahi-Kasei,"Climate Change, Energy Strategy"
104,32039,done,Toray Industries Inc.,https://cs2.toray.co.jp/news/toray/en/newsrrs02.nsf/rss-ir.xml,,,,,,,div,id,contents,http://influencemap.org/company/Toray-Industries-Inc,"Climate Change, Energy Strategy"
105,32136,done,LG Chem,,,,,,,,,,,http://influencemap.org/company/LG-Chem,Climate Change
106,32234,done,Solvay,,,,,,,,,,,http://influencemap.org/company/Solvay-446f69cce18f12102496bfc9e71bc0cd,Climate Change
107,32331,done,Royal DSM,,,,,,,,,,,http://influencemap.org/company/DSM-1d6ed59bb42a9a746c65e0ef6c6a3729,Climate Change
108,32428,done,Mitsubishi Chemical Holdings,,,,,,,,,,,http://influencemap.org/company/Mitsubishi-Chemical-Holdings,"Climate Change, Energy Strategy"
109,32525,done,Sumitomo Chemicals,https://www.sumitomocorp.com/en/jp/news/release/rss,,,,,,,main,class,l-main theme-single theme-detail,http://influencemap.org/company/Sumitomo-Chemicals,"Climate Change, Energy Strategy"
110,32624,done,Arkema,,,,,,,,,,,http://influencemap.org/company/Arkema-c7d117d34ad30196536614049cad5abb,Climate Change
111,32721,done,Incitec Pivot,,,,,,,,,,,http://influencemap.org/company/Incitec-Pivot,Climate Change
112,32818,done,Lanxess,,,,,,,,,,,http://influencemap.org/company/Lanxess-1432181ee8022f73d777f99a308f369a,Climate Change
113,32916,done,Tata Chemicals,,,,,,,,,,,http://influencemap.org/company/Tata-Chemicals,Climate Change
114,33013,done,Ube Industries,https://www.ube-ind.co.jp/ube/en/rss/news.xml,,,,,,,div,class,article-area,http://influencemap.org/company/Ube-Industries,Climate Change
115,33110,done,Tokuyama Corporation,,,,,,,,,,,http://influencemap.org/company/Tokuyama-Corporation,Climate Change
116,33549,done,LyondellBasell Industries,https://lyondellbasell.mediaroom.com/index.php?s=43&pagetemplate=rss,,,,,,,div,id,wd_printable_content,http://influencemap.org/company/LyondellBasell-Industries,Climate Change
117,33648,done,AkzoNobel,,,,,,,,,,,http://influencemap.org/company/AkzoNobel-5cac54004a0ef3484a8a2fccabc7dcf9,Climate Change
